Full Date,Full Date Timestamp,Month,Day,Year,Transaction,Description,Account Name,Category
"Thursday, January 20, 2000",2000-01-21T00:00,1,20,2000,29.48,STANDARD Transportation,Credit Card,Transportation
"Thursday, January 20, 2000",2000-01-21T00:00,1,20,2000,8.24,CACTUS CAFE BR3,Credit Card,Restaurants
"Thursday, January 20, 2000",2000-01-21T00:00,1,20,2000,475,NAVI ED SERV PP STUDNTLOAN 123456 0000 JONES,Bill Pay,Student Loan
"Friday, January 21, 2000",2000-01-22T00:00,1,21,2000,18.08,PAYPAL INST XFER,Spending,Charity
"Friday, January 21, 2000",2000-01-22T00:00,1,21,2000,9.35,Cosmic Deli Corp,Spending,Restaurants
"Friday, January 21, 2000",2000-01-22T00:00,1,21,2000,22.1,PANERA BREAD,Credit Card,Fast Food
"Friday, January 21, 2000",2000-01-22T00:00,1,21,2000,8.88,DIGGERS DINER,Credit Card,Restaurants
"Friday, January 21, 2000",2000-01-22T00:00,1,21,2000,34.04,POS PURCHASE - EXXONMOBIL POS 0000012345678998745,Checking,Gas & Fuel
"Saturday, January 22, 2000",2000-01-23T00:00,1,22,2000,184,AMAZON MKTPLACE PMTS,Credit Card,Shopping
"Saturday, January 22, 2000",2000-01-23T00:00,1,22,2000,25.67,SQ *PHILLY CHEESESTEAK,Credit Card,Restaurants
"Saturday, January 22, 2000",2000-01-23T00:00,1,22,2000,26.88,UBER TECHNOLOGIES INC,Credit Card,Transportation
"Saturday, January 22, 2000",2000-01-23T00:00,1,22,2000,105.38,Macy's,Spending,Clothing
"Saturday, January 22, 2000",2000-01-23T00:00,1,22,2000,18.65,IHOP,Spending,Restaurants
"Sunday, January 23, 2000",2000-01-24T00:00,1,23,2000,9.8,Chipotle,Credit Card,Fast Food
"Sunday, January 23, 2000",2000-01-24T00:00,1,23,2000,20.89,Taqueria Mercado Mcc,Spending,Restaurants
"Sunday, January 23, 2000",2000-01-24T00:00,1,23,2000,8.84,CACTUS CAFE BR3,Credit Card,Restaurants
"Sunday, January 23, 2000",2000-01-24T00:00,1,23,2000,23.99,Panera Bread,Cash,Fast Food
"Sunday, January 23, 2000",2000-01-24T00:00,1,23,2000,136.04,BILL PAY TIME WARNER CABL ON-LINE xxxx77777 ON 01-23,Bill Pay,Television & Internet
"Monday, January 24, 2000",2000-01-25T00:00,1,24,2000,8.45,CACTUS CAFE BR3,Credit Card,Restaurants
"Monday, January 24, 2000",2000-01-25T00:00,1,24,2000,59.25,KROGER,CREDIT CARD,Groceries
"Monday, January 24, 2000",2000-01-25T00:00,1,24,2000,47.83,Uber BV,Credit Card,Transportation
"Monday, January 24, 2000",2000-01-25T00:00,1,24,2000,13.5,CACTUS CAFE BR3,Credit Card,Restaurants
"Monday, January 24, 2000",2000-01-25T00:00,1,24,2000,9.49,Chipotle,Spending,Fast Food
"Tuesday, January 25, 2000",2000-01-26T00:00,1,25,2000,14.38,IHOP,Credit Card,Restaurants
"Tuesday, January 25, 2000",2000-01-26T00:00,1,25,2000,279.13,Target,Spending,Shopping
"Tuesday, January 25, 2000",2000-01-26T00:00,1,25,2000,25.44,PAYPAL INST XFER,Spending,Clothing
"Tuesday, January 25, 2000",2000-01-26T00:00,1,25,2000,8.33,TWISTER TRUCK,Credit Card,Fast Food
"Tuesday, January 25, 2000",2000-01-26T00:00,1,25,2000,12.42,CHIPOTLE,Credit Card,Fast Food
"Wednesday, January 26, 2000",2000-01-27T00:00,1,26,2000,12.57,Kyoto Japanese Cui,Spending,Restaurants
"Wednesday, January 26, 2000",2000-01-27T00:00,1,26,2000,12.13,Popeye's,Spending,Fast Food
"Wednesday, January 26, 2000",2000-01-27T00:00,1,26,2000,68.95,URBAN TORTILLA,Credit Card,Restaurants
"Wednesday, January 26, 2000",2000-01-27T00:00,1,26,2000,25,CHECK CRD PURCHASE AIRTRANAIR,Spending,Air Travel
"Wednesday, January 26, 2000",2000-01-27T00:00,1,26,2000,219.08,AIRTRANAIR,Spending,Air Travel
"Thursday, January 27, 2000",2000-01-28T00:00,1,27,2000,10.03,TONLI DUMPLING HOUSE,Credit Card,Fast Food
"Thursday, January 27, 2000",2000-01-28T00:00,1,27,2000,25.5,RUBY TUESDAY,Credit Card,Restaurants
"Thursday, January 27, 2000",2000-01-28T00:00,1,27,2000,11.45,Kyojin Japanese Bu,Spending,Restaurants
"Thursday, January 27, 2000",2000-01-28T00:00,1,27,2000,18.74,IHOP,Spending,Restaurants
"Thursday, January 27, 2000",2000-01-28T00:00,1,27,2000,61.8,SHAPES BROW BAR,Credit Card,Entertainment
"Friday, January 28, 2000",2000-01-29T00:00,1,28,2000,28.87,Food Lion,Spending,Groceries
"Friday, January 28, 2000",2000-01-29T00:00,1,28,2000,23.99,TASTE OF THAI,Credit Card,Restaurants
"Friday, January 28, 2000",2000-01-29T00:00,1,28,2000,24.95,PAPA JOHN'S,Credit Card,Fast Food
"Friday, January 28, 2000",2000-01-29T00:00,1,28,2000,51.19,Caribbean Fiesta Mcc,Spending,Restaurants
"Friday, January 28, 2000",2000-01-29T00:00,1,28,2000,10.87,PIZZA HUT,Credit Card,Fast Food
"Saturday, January 29, 2000",2000-01-30T00:00,1,29,2000,150.47,ROSS STORE,Credit Card,Clothing
"Saturday, January 29, 2000",2000-01-30T00:00,1,29,2000,61.03,Caribbean Fiesta Mcc,Spending,Restaurants
"Saturday, January 29, 2000",2000-01-30T00:00,1,29,2000,18.97,IHOP,Credit Card,Restaurants
"Saturday, January 29, 2000",2000-01-30T00:00,1,29,2000,40.59,1ST WOK EXPRESS,Credit Card,Restaurants
"Saturday, January 29, 2000",2000-01-30T00:00,1,29,2000,67.09,EB TOASTED LIFE ROOFT,Credit Card,Entertainment
"Sunday, January 30, 2000",2000-01-31T00:00,1,30,2000,62.42,Urban Pl Mcc,Spending,Restaurants
"Sunday, January 30, 2000",2000-01-31T00:00,1,30,2000,20.09,Kroger,Spending,Groceries
"Sunday, January 30, 2000",2000-01-31T00:00,1,30,2000,10.91,Subway,Spending,Fast Food
"Sunday, January 30, 2000",2000-01-31T00:00,1,30,2000,15.76,GREENSBORO TRVL CTR WHITSETT NC,Credit Card,Restaurants
"Sunday, January 30, 2000",2000-01-31T00:00,1,30,2000,13.19,SQ *SOUTHERN COMFORT KITC,Credit Card,Fast Food
"Monday, January 31, 2000",2000-02-01T00:00,1,31,2000,11.95,MCDONALD'S,Credit Card,Fast Food
"Monday, January 31, 2000",2000-02-01T00:00,1,31,2000,10.27,Chipotle,Spending,Fast Food
"Monday, January 31, 2000",2000-02-01T00:00,1,31,2000,12.08,KONA GRILL HOUSTON,Credit Card,Restaurants
"Monday, January 31, 2000",2000-02-01T00:00,1,31,2000,109.72,KROGER,CREDIT CARD,Groceries
"Monday, January 31, 2000",2000-02-01T00:00,1,31,2000,209.39,Wal-Mart,Spending,Shopping
"Tuesday, February 01, 2000",2000-02-02T00:00,2,1,2000,25.8,UBER,Credit Card,Transportation
"Tuesday, February 01, 2000",2000-02-02T00:00,2,1,2000,12.33,CHIPOTLE,Credit Card,Restaurants
"Tuesday, February 01, 2000",2000-02-02T00:00,2,1,2000,49.12,Kroger,Spending,Groceries
"Tuesday, February 01, 2000",2000-02-02T00:00,2,1,2000,276.17,CHARLOTTE RUSSE,Credit Card,Clothing
"Tuesday, February 01, 2000",2000-02-02T00:00,2,1,2000,725,BILL PAY COUNTRYSIDE APARTMENTS,Savings,Mortgage & Rent
"Wednesday, February 02, 2000",2000-02-03T00:00,2,2,2000,9.6,Subway,Spending,Fast Food
"Wednesday, February 02, 2000",2000-02-03T00:00,2,2,2000,30.46,Whole Foods,Credit Card,Groceries
"Wednesday, February 02, 2000",2000-02-03T00:00,2,2,2000,48.81,Lanier Transportation Mcc,Spending,Transportation
"Wednesday, February 02, 2000",2000-02-03T00:00,2,2,2000,39.71,UBER TECHNOLOGIES INC,Credit Card,Transportation
"Wednesday, February 02, 2000",2000-02-03T00:00,2,2,2000,86.6,BILL PAY DUKE ENERGY OHIO ON-LINE xxxxxx88888 ON 02-02,Bill Pay,Electricity
"Thursday, February 03, 2000",2000-02-04T00:00,2,3,2000,23.95,REGAL NAILS,Credit Card,Spa & Massage
"Thursday, February 03, 2000",2000-02-04T00:00,2,3,2000,8.75,COLDSTONE,Credit Card,Fast Food
"Thursday, February 03, 2000",2000-02-04T00:00,2,3,2000,11.07,FIVE GUYS,Credit Card,Fast Food
"Thursday, February 03, 2000",2000-02-04T00:00,2,3,2000,13.05,Snack Soda Vending,Spending,Fast Food
"Thursday, February 03, 2000",2000-02-04T00:00,2,3,2000,11.29,CACTUS CAFE BR3,Credit Card,Restaurants
"Friday, February 04, 2000",2000-02-05T00:00,2,4,2000,113.65,Kroger,Cash,Groceries
"Friday, February 04, 2000",2000-02-05T00:00,2,4,2000,9.51,Subway,Spending,Fast Food
"Friday, February 04, 2000",2000-02-05T00:00,2,4,2000,24.65,TGI FRIDAY'S,Credit Card,Restaurants
"Friday, February 04, 2000",2000-02-05T00:00,2,4,2000,15.64,MORRIS AND SONS TOWING,Credit Card,Transportation
"Friday, February 04, 2000",2000-02-05T00:00,2,4,2000,25.59,TGI FRIDAY'S,Credit Card,Restaurants
"Saturday, February 05, 2000",2000-02-06T00:00,2,5,2000,49.56,Transportation CONCEPTS INC LOC,Credit Card,Transportation
"Saturday, February 05, 2000",2000-02-06T00:00,2,5,2000,12.97,Chipotle,Credit Card,Fast Food
"Saturday, February 05, 2000",2000-02-06T00:00,2,5,2000,256.81,Target,Credit Card,Shopping
"Saturday, February 05, 2000",2000-02-06T00:00,2,5,2000,11.64,UBER TECHNOLOGIES INC,Credit Card,Transportation
"Saturday, February 05, 2000",2000-02-06T00:00,2,5,2000,49.54,NATURAL NAILS,Credit Card,Spa & Massage
"Sunday, February 06, 2000",2000-02-07T00:00,2,6,2000,490.38,FOOT LOCKER,Credit Card,Clothing
"Sunday, February 06, 2000",2000-02-07T00:00,2,6,2000,83.09,Kroger,Spending,Groceries
"Sunday, February 06, 2000",2000-02-07T00:00,2,6,2000,9.67,City Barbeque,Spending,Restaurants
"Sunday, February 06, 2000",2000-02-07T00:00,2,6,2000,11.54,Chipotle,Credit Card,Restaurants
"Sunday, February 06, 2000",2000-02-07T00:00,2,6,2000,13.35,CACTUS CAFE BR3,Credit Card,Restaurants
"Monday, February 07, 2000",2000-02-08T00:00,2,7,2000,96.12,Target,Credit Card,Shopping
"Monday, February 07, 2000",2000-02-08T00:00,2,7,2000,70.23,The Lake Chalet Seafood B,Credit Card,Restaurants
"Monday, February 07, 2000",2000-02-08T00:00,2,7,2000,9.99,CHIPOTLE,Credit Card,Restaurants
"Monday, February 07, 2000",2000-02-08T00:00,2,7,2000,12.81,Five Guys,Spending,Fast Food
"Monday, February 07, 2000",2000-02-08T00:00,2,7,2000,25.88,TEXACO 0012345,Checking,Gas & Fuel
"Tuesday, February 08, 2000",2000-02-09T00:00,2,8,2000,66.96,THE GO SPORTS BAR & GR,Credit Card,Entertainment
"Tuesday, February 08, 2000",2000-02-09T00:00,2,8,2000,11.48,Five Guys,Spending,Fast Food
"Tuesday, February 08, 2000",2000-02-09T00:00,2,8,2000,255.96,PAYPAL INST XFER,Spending,Shopping
"Tuesday, February 08, 2000",2000-02-09T00:00,2,8,2000,8.07,Jimmy John's,Spending,Restaurants
"Tuesday, February 08, 2000",2000-02-09T00:00,2,8,2000,55.1,TGI Friday's,Spending,Entertainment
"Wednesday, February 09, 2000",2000-02-10T00:00,2,9,2000,13.18,NYC-TAXI,Credit Card,Transportation
"Wednesday, February 09, 2000",2000-02-10T00:00,2,9,2000,9.05,GREAT NAILS & SPA,Credit Card,Spa & Massage
"Wednesday, February 09, 2000",2000-02-10T00:00,2,9,2000,60.87,SHAPES BROW BAR,Credit Card,Entertainment
"Wednesday, February 09, 2000",2000-02-10T00:00,2,9,2000,71.12,Safeway,CREDIT CARD,Groceries
"Wednesday, February 09, 2000",2000-02-10T00:00,2,9,2000,305.65,TJ Maxx,Spending,Clothing
"Thursday, February 10, 2000",2000-02-11T00:00,2,10,2000,24.14,SQ *BIBIGO Q,Credit Card,Restaurants
"Thursday, February 10, 2000",2000-02-11T00:00,2,10,2000,10.51,CACTUS CAFE BR3,Credit Card,Restaurants
"Thursday, February 10, 2000",2000-02-11T00:00,2,10,2000,8.2,Chipotle,Spending,Fast Food
"Thursday, February 10, 2000",2000-02-11T00:00,2,10,2000,102.33,Target,Credit Card,Shopping
"Thursday, February 10, 2000",2000-02-11T00:00,2,10,2000,44.16,Catch A Fire,Spending,Restaurants
"Friday, February 11, 2000",2000-02-12T00:00,2,11,2000,66.6,1ST WOK EXPRESS,Credit Card,Restaurants
"Friday, February 11, 2000",2000-02-12T00:00,2,11,2000,251.93,Wal-Mart,Spending,Shopping
"Friday, February 11, 2000",2000-02-12T00:00,2,11,2000,68.41,Safeway,Credit Card,Groceries
"Friday, February 11, 2000",2000-02-12T00:00,2,11,2000,19.34,FOOT LOCKER,Credit Card,Charity
"Friday, February 11, 2000",2000-02-12T00:00,2,11,2000,13.23,IHOP,Credit Card,Restaurants
"Saturday, February 12, 2000",2000-02-13T00:00,2,12,2000,10.76,MILIKI RESTAURANT,Credit Card,Restaurants
"Saturday, February 12, 2000",2000-02-13T00:00,2,12,2000,12.89,Chipotle,Spending,Fast Food
"Saturday, February 12, 2000",2000-02-13T00:00,2,12,2000,25.34,Taco Mac Mcc,Spending,Restaurants
"Saturday, February 12, 2000",2000-02-13T00:00,2,12,2000,11.57,CACTUS CAFE BR3,Credit Card,Restaurants
"Saturday, February 12, 2000",2000-02-13T00:00,2,12,2000,26.31,Papa John's,Spending,Fast Food
"Sunday, February 13, 2000",2000-02-14T00:00,2,13,2000,68.37,Kroger,Spending,Groceries
"Sunday, February 13, 2000",2000-02-14T00:00,2,13,2000,6.67,CHICK-FIL-A,Credit Card,Fast Food
"Sunday, February 13, 2000",2000-02-14T00:00,2,13,2000,58.09,MAD OAK,Credit Card,Entertainment
"Sunday, February 13, 2000",2000-02-14T00:00,2,13,2000,86.86,Safeway,CREDIT CARD,Groceries
"Sunday, February 13, 2000",2000-02-14T00:00,2,13,2000,31.9,InterTransportation Mcc,Spending,Transportation
"Monday, February 14, 2000",2000-02-15T00:00,2,14,2000,27.45,PAPA JOHN'S,Credit Card,Fast Food
"Monday, February 14, 2000",2000-02-15T00:00,2,14,2000,10.64,Kroger,Bill Pay,Groceries
"Monday, February 14, 2000",2000-02-15T00:00,2,14,2000,56.73,Miltons,Spending,Entertainment
"Monday, February 14, 2000",2000-02-15T00:00,2,14,2000,9.45,Chipotle,Spending,Fast Food
"Monday, February 14, 2000",2000-02-15T00:00,2,14,2000,28.72,TEXACO 0012345,Checking,Gas & Fuel
"Tuesday, February 15, 2000",2000-02-16T00:00,2,15,2000,28.38,NYC TAXI,Credit Card,Transportation
"Tuesday, February 15, 2000",2000-02-16T00:00,2,15,2000,249.77,Target,Credit Card,Shopping
"Tuesday, February 15, 2000",2000-02-16T00:00,2,15,2000,10.51,Church's Chicken,Spending,Restaurants
"Tuesday, February 15, 2000",2000-02-16T00:00,2,15,2000,108.63,WAL-MART,Credit Card,Shopping
"Tuesday, February 15, 2000",2000-02-16T00:00,2,15,2000,8.91,Phoenix Dragon Mcc,Spending,Fast Food
"Wednesday, February 16, 2000",2000-02-17T00:00,2,16,2000,57.28,Anchor Mcc,Spending,Restaurants
"Wednesday, February 16, 2000",2000-02-17T00:00,2,16,2000,10.02,WAFFLE HOUSE,Credit Card,Fast Food
"Wednesday, February 16, 2000",2000-02-17T00:00,2,16,2000,13.1,FLYING BISCUIT CAFÉ,Credit Card,Restaurants
"Wednesday, February 16, 2000",2000-02-17T00:00,2,16,2000,55.83,ROSEMONT SOCIAL CL,Credit Card,Entertainment
"Wednesday, February 16, 2000",2000-02-17T00:00,2,16,2000,35.13,Lanier Transportation Mcc,Spending,Transportation
"Thursday, February 17, 2000",2000-02-18T00:00,2,17,2000,28.17,American Deli Mcc,Spending,Restaurants
"Thursday, February 17, 2000",2000-02-18T00:00,2,17,2000,27.95,PAPA JOHN'S,Credit Card,Fast Food
"Thursday, February 17, 2000",2000-02-18T00:00,2,17,2000,9.2,SQ *SOUTHERN COMFORT KITC,Credit Card,Fast Food
"Thursday, February 17, 2000",2000-02-18T00:00,2,17,2000,50.16,NATURAL NAILS,Credit Card,Spa & Massage
"Thursday, February 17, 2000",2000-02-18T00:00,2,17,2000,513.59,LEVIS OUTLET,Credit Card,Clothing
"Friday, February 18, 2000",2000-02-19T00:00,2,18,2000,22.47,RED ROBIN,Credit Card,Restaurants
"Friday, February 18, 2000",2000-02-19T00:00,2,18,2000,9.79,Five Guys,Spending,Fast Food
